pig_id,day,start_time,end_time,took_off,put_on
CO-001,day_0,2012-05-22 12:42:00,,2012-05-22 9:00:00,2012-05-22 10:30:00
CO-001,day_1,,,2012-05-22 10:05:00,
CO-001,day_2,,,2012-05-22 12:30:00,
CO-001,day_3,,,2012-05-22 11:45:00,2012-05-22 13:00:00
CO-002,day_0,2012-05-22 13:31:00,,,
CO-002,day_1,,,2012-05-22 10:30:00,
CO-002,day_2,,,2012-05-22 09:30:00,
CO-002,day_3,,,2012-05-22 10:30:00,2012-05-22 13:00:00
CO-003,day_0,2010-03-14 14:00:00,,,
CO-003,day_3,,,,2010-03-14 10:30:00
CO-004,day_0,2010-08-16 13:58:00,2010-08-16 23:00:00,,
CO-004,day_1,,,,2010-08-16 23:00:00
CO-004,day_2,,,,2010-08-16 23:00:00
CO-004,day_3,,,,2010-08-16 14:00:00
CO-005,day_0,2010-10-20 11:10:00,,2010-10-20 22:45:00,2010-10-20 23:15:00
CO-005,day_1,,,2010-10-20 22:50:00,
CO-005,day_3,,,,2010-10-20 10:40:00
CO-006,day_0,2010-11-01 12:45:00,2010-11-01 23:30:00,,
CO-006,day_1,,,2010-11-01 18:45:00,2010-11-01 00:30:00
CO-006,day_2,,,,2010-11-01 22:50:00
CO-006,day_3,,,,2010-11-01 13:15:00
CO-007,day_0,2010-11-15 11:32:00,,,
CO-007,day_1,,,2010-11-15 15:45:00,
CO-007,day_2,,,2010-11-15 12:15:00,
CO-007,day_3,,,,2010-11-15 12:00:00
CO-008,day_0,2010-12-12 11:20:00,,2010-12-12 12:20:00,2010-12-12 12:50:00
CO-008,day_1,,,2010-12-12 12:15:00,
CO-008,day_2,,,2010-12-12 15:00:00,
CO-008,day_3,,,2010-12-12 10:00:00,2010-12-12 12:00:00
CO-009,day_0,2010-12-27 11:34:00,,,
CO-009,day_2,,,2010-12-27 09:00:00,
CO-009,day_3,,,2010-12-27 00:10:00,2010-12-27 12:00:00
CO-010,day_0,2011-01-05 12:59:00,,2011-01-05 14:30:00,2011-01-05 16:00:00
CO-010,day_2,,,,2011-01-05 23:30:00
CO-010,day_3,,,2011-01-05 10:10:00,2011-01-05 13:00:00
CO-011,day_0,2011-01-09 12:00:00,2011-01-09 00:00:00,,
CO-011,day_1,,,,2011-01-09 00:30:00
CO-011,day_2,,,,2011-01-09 00:30:00
CO-011,day_3,,,,2011-01-09 11:15:00
CO-012,day_0,2011-01-25 11:34:00,,,
CO-012,day_1,,,2011-01-25 10:35:00,
CO-012,day_2,,,2011-01-25 10:30:00,
CO-012,day_3,,,2011-01-25 09:00:00,2011-01-25 12:30:00
CO-013,day_0,2012-06-03 11:20:00,2012-06-03 22:00:00,,
CO-013,day_1,,,2012-06-03 11:15:00,2012-06-03 22:30:00
CO-013,day_2,,,,2012-06-03 23:45:00
CO-013,day_3,,,2012-06-03 11:15:00,2012-06-03 04:45:00
CO-014,day_0,2011-02-15 13:13:00,,2011-02-15 19:35:00,2011-02-15 20:00:00
CO-014,day_3,,,2011-02-15 09:30:00,2011-02-15 13:30:00
CO-015,day_0,2011-03-09 12:12:00,,2011-03-09 23:10:00,2011-03-09 23:30:00
CO-015,day_1,,,2011-03-09 21:00:00,
CO-015,day_2,,,2011-03-09 21:00:00,
CO-015,day_3,,,2011-03-09 16:00:00,
CO-016,day_0,2011-03-22 15:40:00,2011-03-22 01:00:00,,
CO-016,day_1,,,,2011-03-22 01:00:00
CO-016,day_2,,,,2011-03-22 00:45:00
CO-016,day_3,,,,2011-03-22 15:30:00
CO-017,day_0,2011-05-15 15:45:00,2011-05-15 22:00:00,,
CO-017,day_1,,,2011-05-15 17:30:00,
CO-017,day_2,,,2011-05-15 15:30:00,2011-05-15 22:35:00
CO-017,day_3,,,,2011-05-15 16:00:00
CO-019,day_0,2011-07-05 12:45:00,,,
CO-019,day_1,,,2011-07-05 17:30:00,
CO-019,day_2,,,2011-07-05 11:30:00,
CO-019,day_3,,,,2011-07-05 13:00:00
CO-020,day_0,2011-07-05 12:50:00,,,
CO-020,day_1,,,2011-07-05 09:00:00,2011-07-05 22:00:00
CO-020,day_2,,,2011-07-05 11:15:00,2011-07-05 22:15:00
CO-020,day_3,,,2011-07-05 09:00:00,2011-07-05 13:00:00
CO-021,day_0,2011-07-07 12:50:00,2011-07-07 22:05:00,2011-07-07 17:50:00,2011-07-07 19:20:00
CO-021,day_1,,,2011-07-07 17:10:00,2011-07-07 21:50:00
CO-021,day_2,,,2011-07-07 16:50:00,2011-07-07 22:15:00
CO-021,day_3,,,,2011-07-07 13:00:00
CO-022,day_0,2011-08-10 11:10:00,2011-08-10 21:30:00,,
CO-022,day_1,,,2011-08-10 18:00:00,2011-08-10 21:30:00
CO-022,day_2,,,,2011-08-10 21:30:00
CO-022,day_3,,,,2011-08-10 11:20:00
CO-023,day_0,2011-08-24 14:25:00,2011-08-24 00:30:00,,
CO-023,day_1,,,,2011-08-24 00:30:00
CO-023,day_2,,,,2011-08-24 01:30:00
CO-023,day_3,,,,2011-08-24 16:30:00
CO-024,day_0,2012-01-18 13:40:00,,,
CO-024,day_1,,,,2012-01-18 19:25:00
CO-026,day_0,2012-07-05 15:50:00,2012-07-05 22:55:00,2012-07-05 17:55:00,2012-07-05 18:00:00
CO-026,day_1,,,2012-07-05 08:30:00,2012-07-05 23:30:00
CO-026,day_2,,,2012-07-05 10:50:00,2012-07-05 23:55:00
CO-026,day_3,,,,2012-07-05 14:30:00
CO-027,day_0,2012-04-22 11:05:00,2012-04-22 22:00:00,,
CO-027,day_1,,,,2012-04-22 22:30:00
CO-027,day_2,,,,2012-04-22 22:35:00
CO-027,day_3,,,,2012-04-22 22:00:00
CO-028,day_0,2012-06-04 12:25:00,2012-06-04 23:00:00,,
CO-028,day_1,,,,2012-06-04 22:30:00
CO-028,day_2,,,,2012-06-04 22:00:00
CO-029,day_0,2011-08-14 13:00:00,,,
CO-030,day_0,2012-04-30 14:30:00,,,
CO-030,day_1,,,2012-04-30 10:00:00,
CO-030,day_2,,,2012-04-30 09:50:00,
CO-030,day_3,,,,2012-04-30 10:25:00
CO-031,day_0,2012-03-15 15:33:00,2012-03-15 23:15:00,,
CO-031,day_1,,,,2012-03-15 23:15:00
CO-031,day_2,,,,2012-03-15 23:15:00
CO-031,day_3,,,,2012-03-15 15:33:00
CO-032,day_0,2012-05-21 14:30:00,2012-05-21 21:10:00,,
CO-032,day_1,,,2012-05-21 16:30:00,2012-05-21 21:40:00
CO-032,day_2,,,,2012-05-21 21:10:00
CO-032,day_3,,,,2012-05-21 12:00:00
CO-035,day_0,2012-06-07 10:50:00,2012-06-07 23:00:00,2012-06-07 14:00:00,2012-06-07 17:00:00
CO-035,day_1,,,2012-06-07 16:40:00,2012-06-07 02:30:00
CO-035,day_2,,,2012-06-07 17:15:00,2012-06-07 22:45:00
CO-035,day_3,,,,2012-06-07 14:30:00
CO-036,day_0,,2012-06-07 15:00:00,,
CO-036,day_1,,,2012-06-07 18:00:00,2012-06-07 01:00:00
CO-036,day_2,,,2012-06-07 15:00:00,2012-06-07 22:00:00
CO-036,day_3,,,,2012-06-07 14:00:00
CO-037,day_0,2012-06-11 12:10:00,2012-06-11 00:00:00,,
CO-037,day_1,,,,2012-06-11 00:00:00
CO-037,day_2,,,,2012-06-11 23:00:00
CO-037,day_3,,,,2012-06-11 00:00:00
CO-039,day_0,2012-06-17 13:29:00,2012-06-17 22:00:00,2012-06-17 15:15:00,2012-06-17 16:45:00
CO-039,day_1,,,2012-06-17 12:30:00,2012-06-17 22:30:00
CO-039,day_2,,,,2012-06-17 17:00:00
CO-039,day_3,,,,2012-06-17 12:45:00
CO-040,day_0,2012-06-18 11:50:00,,,
CO-040,day_1,,,2012-06-18 12:15:00,2012-06-18 22:30:00
CO-040,day_2,,,2012-06-18 17:15:00,2012-06-18 21:22:00
CO-040,day_3,2012-06-18 9:40:00,2012-06-18 9:40:00,,2012-06-18 11:50:00
CO-041,day_0,2012-07-03 13:35:00,2012-07-03 01:30:00,,
CO-041,day_1,,,,2012-07-03 01:30:00
CO-041,day_2,,,,2012-07-03 01:15:00
CO-041,day_3,,,,2012-07-03 13:00:00
CO-042,day_0,2012-07-04 11:54:00,2012-07-04 23:00:00,,
CO-042,day_1,,,,2012-07-04 23:30:00
CO-042,day_2,,,,2012-07-04 22:30:00
FL-003,day_0,2010-07-21 12:02:00,,,
FL-003,day_1,,,2010-07-21 13:04:00,
FL-003,day_2,,,2010-07-21 17:35:00,
FL-003,day_3,,,,2010-07-21 12:27:00
FL-003,day_0,2012-06-17 09:38:00,2012-06-17 23:15:00,2012-06-17 14:00:00,2012-06-17 17:25:00
FL-003,day_1,,,2012-06-17 18:20:00,2012-06-17 23:45:00
FL-003,day_2,,,2012-06-17 18:00:00,2012-06-17 00:25:00
FL-004,day_0,2011-01-30 15:50:00,2011-01-30 23:00:00,,
FL-004,day_1,,,2011-01-30 16:00:00,2011-01-30 23:00:00
FL-004,day_2,,,2011-01-30 17:00:00,2011-01-30 23:00:00
FL-004,day_3,,,,2011-01-30 16:00:00
FL-005,day_0,2011-03-23 13:05:00,2011-03-23 00:30:00,,
FL-005,day_1,,,,2011-03-23 00:45:00
FL-005,day_2,,,,2011-03-23 23:25:00
FL-006,day_0,2011-05-08 15:07:00,2011-05-08 23:00:00,,
FL-006,day_1,,,,2011-05-08 22:30:00
FL-006,day_2,,,2011-05-08 10:30:00,2011-05-08 21:45:00
FL-006,day_3,,,,2011-05-08 21:30:00
FL-007,day_0,2011-05-15 09:45:00,2011-05-15 23:10:00,2011-05-15 19:55:00,2011-05-15 20:15:00
FL-007,day_1,,,2011-05-15 20:00:00,2011-05-15 00:40:00
FL-007,day_2,,,,2011-05-15 22:45:00
FL-007,day_3,,,2011-05-15 15:00:00,2011-05-15 17:00:00
FL-008,day_0,2011-05-22 10:30:00,2011-05-22 23:30:00,2011-05-22 15:15:00,2011-05-22 17:30:00
FL-008,day_1,,,2011-05-22 16:00:00,2011-05-22 22:20:00
FL-009,day_0,2011-05-24 12:40:00,,2011-05-24 14:30:00,2011-05-24 14:50:00
FL-009,day_1,,,2011-05-24 19:00:00,
FL-009,day_3,,,,2011-05-24 12:00:00
FL-010,day_3,,,,2011-05-24 10:00:00
FL-011,day_0,2011-06-05 12:10:00,2011-06-05 01:00:00,2011-06-05 15:00:00,2011-06-05 16:30:00
FL-011,day_1,,,,2011-06-05 01:00:00
FL-011,day_2,,,2011-06-05 13:00:00,
FL-011,day_3,,,2011-06-05 15:30:00,2011-06-05 01:00:00
FL-013,day_0,2011-08-23 12:40:00,,,
FL-013,day_1,,,2011-08-23 11:00:00,2011-08-23 23:50:00
FL-013,day_2,,,2011-08-23 10:52:00,2011-08-23 23:00:00
FL-013,day_3,,,2011-08-23 10:45:00,2011-08-23 12:40:00
FL-014,day_0,2011-08-30 12:15:00,2011-08-30 23:00:00,,
FL-014,day_1,,,2011-08-30 17:25:00,2011-08-30 22:10:00
FL-014,day_2,,,2011-08-30 13:00:00,2011-08-30 22:10:00
FL-014,day_3,,,2011-08-30 13:10:00,2011-08-30 22:20:00
FL-016,day_0,2011-09-14 14:22:00,,,
FL-016,day_1,,,,2011-09-14 20:00:00
FL-016,day_2,,,2011-09-14 09:00:00,
FL-016,day_3,,,2011-09-14 07:40:00,2011-09-14 23:00:00
FL-017,day_0,,,2011-12-18 22:30:00,2011-12-18 23:00:00
FL-017,day_1,,,2011-12-18 23:20:00,
FL-017,day_2,,,,2011-12-18 18:00:00
FL-018,day_0,2011-09-21 10:15:00,,2011-09-21 18:20:00,2011-09-21 18:35:00
FL-018,day_2,,,2011-09-21 22:10:00,
FL-018,day_3,,,,2011-09-21 10:00:00
FL-019,day_0,2011-10-05 13:00:00,2011-10-05 22:00:00,,
FL-019,day_1,,,,2011-10-05 21:30:00
FL-019,day_2,,,2011-10-05 15:25:00,2011-10-05 21:00:00
FL-019,day_3,,,,2011-10-05 13:30:00
FL-021,day_0,2011-10-31 14:27:00,,,
FL-021,day_3,,,,2011-10-31 13:30:00
FL-022,day_0,2011-10-24 15:10:00,,,
FL-022,day_3,,,2011-10-24 09:45:00,2011-10-24 15:15:00
FL-023,day_0,2011-11-06 11:30:00,,,
FL-023,day_1,,,2011-11-06 20:30:00,
FL-023,day_2,,,2011-11-06 08:30:00,
FL-023,day_3,,,2011-11-06 07:00:00,
FL-025,day_0,2011-11-21 14:00:00,2011-11-21 22:10:00,,
FL-025,day_1,,,2011-11-21 18:00:00,2011-11-21 22:30:00
FL-025,day_2,,,,2011-11-21 22:30:00
FL-025,day_3,,,,2011-11-21 21:45:00
FL-026,day_0,,2011-12-05 21:30:00,2011-12-05 15:00:00,2011-12-05 16:00:00
FL-026,day_1,,,2011-12-05 16:00:00,2011-12-05 19:00:00
FL-026,day_2,,,2011-12-05 15:00:00,2011-12-05 19:00:00
FL-026,day_3,,,,2011-12-05 13:30:00
FL-027,day_0,2012-01-08 10:30:00,,,
FL-027,day_3,,,,2012-01-08 14:30:00
FL-031,day_0,2012-04-23 12:45:00,2012-04-23 21:30:00,,
FL-031,day_1,,,,2012-04-23 21:30:00
FL-031,day_2,,,,2012-04-23 22:16:00
FL-031,day_3,,,,2012-04-23 12:00:00
FL-033,day_0,2012-06-04 12:33:00,2012-06-04 22:55:00,,
FL-033,day_1,2012-06-04 19:30:00,2012-06-04 19:30:00,2012-06-04 15:00:00,2012-06-04 22:50:00
FL-033,day_2,,,,2012-06-04 22:35:00
FL-033,day_3,,,,2012-06-04 08:00:00
FL-035,day_0,2012-06-21 09:00:00,2012-06-21 20:00:00,,
FL-035,day_1,,,2012-06-21 19:00:00,2012-06-21 00:45:00
FL-035,day_2,,,2012-06-21 19:00:00,2012-06-21 22:30:00
FL-036,day_0,2012-07-04 09:59:00,,2012-07-04 12:30:00,
FL-036,day_2,,,2012-07-04 15:35:00,2012-07-04 23:30:00
FL-036,day_3,,,,2012-07-04 13:25:00
