pig_id ,day   ,start_time     ,take_off_1     ,put_on_1       ,take_off_2     ,put_on_2       ,end_time
CO-001 ,day_0 ,5/22/12 12:42  ,5/22/12 9:00   ,5/22/12 10:30  ,               ,               ,
CO-001 ,day_1 ,               ,5/23/12 8:30   ,5/23/12 10:05  ,               ,               ,
CO-001 ,day_2 ,               ,5/24/12 11:00  ,5/24/12 12:30  ,               ,               ,
CO-001 ,day_3 ,               ,5/25/12 10:00  ,5/25/12 11:45  ,               ,               ,5/25/12 13:00
CO-002 ,day_0 ,5/22/12 13:31  ,               ,               ,               ,               ,
CO-002 ,day_1 ,               ,5/23/12 10:00  ,5/23/12 10:30  ,               ,               ,
CO-002 ,day_2 ,               ,5/24/12 9:00   ,5/24/12 9:30   ,               ,               ,
CO-002 ,day_3 ,               ,5/25/12 10:00  ,5/25/12 10:30  ,               ,               ,5/25/12 13:00
CO-003 ,day_0 ,3/14/10 14:00  ,               ,               ,               ,               ,
CO-003 ,day_1 ,               ,               ,               ,               ,               ,
CO-003 ,day_2 ,               ,               ,               ,               ,               ,
CO-003 ,day_3 ,               ,               ,               ,               ,               ,3/17/10 10:30
CO-004 ,day_0 ,8/16/10 13:58  ,               ,               ,               ,               ,8/16/10 23:00
CO-004 ,day_1 ,8/17/10 9:10   ,               ,               ,               ,               ,8/17/10 23:00
CO-004 ,day_2 ,8/18/10 9:00   ,               ,               ,               ,               ,8/18/10 23:00
CO-004 ,day_3 ,8/19/10 9:00   ,               ,               ,               ,               ,8/19/10 14:00
CO-005 ,day_0 ,10/20/10 11:10 ,10/20/10 22:45 ,10/20/10 23:15 ,               ,               ,
CO-005 ,day_1 ,               ,10/21/10 22:20 ,10/21/10 22:50 ,               ,               ,
CO-005 ,day_2 ,               ,10/22/10 10:10 ,10/22/10 10:45 ,10/22/10 22:43 ,10/22/10 22:57 ,
CO-005 ,day_3 ,               ,               ,               ,               ,               ,10/23/10 10:40
CO-006 ,day_0 ,11/1/10 12:45  ,               ,               ,               ,               ,11/1/10 23:30
CO-006 ,day_1 ,11/2/10 7:20   ,11/2/10 18:15  ,11/2/10 18:45  ,               ,               ,11/2/10 0:30
CO-006 ,day_2 ,11/3/10 6:00   ,               ,               ,               ,               ,11/3/10 22:50
CO-006 ,day_3 ,11/4/10 6:20   ,               ,               ,               ,               ,11/4/10 13:15
CO-007 ,day_0 ,11/15/10 11:32 ,               ,               ,               ,               ,
CO-007 ,day_1 ,               ,11/16/10 15:23 ,11/16/10 15:45 ,               ,               ,
CO-007 ,day_2 ,               ,11/17/10 11:55 ,11/17/10 12:15 ,               ,               ,
CO-007 ,day_3 ,               ,               ,               ,               ,               ,11/18/10 12:00
CO-008 ,day_0 ,12/12/10 11:20 ,12/12/10 12:20 ,12/12/10 12:50 ,               ,               ,
CO-008 ,day_1 ,               ,12/13/10 8:30  ,12/13/10 12:15 ,               ,               ,
CO-008 ,day_2 ,               ,               ,12/14/10 15:00 ,               ,               ,
CO-008 ,day_3 ,               ,12/15/10 8:30  ,12/15/10 10:00 ,               ,               ,12/15/10 12:00
CO-009 ,day_0 ,12/27/10 11:34 ,               ,               ,               ,               ,
CO-009 ,day_1 ,               ,               ,               ,               ,               ,
CO-009 ,day_2 ,               ,12/29/10 8:14  ,12/29/10 9:00  ,               ,               ,
CO-009 ,day_3 ,               ,12/30/10 7:20  ,12/30/10 0:10  ,               ,               ,12/30/10 12:00
CO-010 ,day_0 ,1/5/11 12:59   ,1/5/11 14:30   ,1/5/11 16:00   ,               ,               ,
CO-010 ,day_1 ,               ,               ,               ,               ,               ,
CO-010 ,day_2 ,               ,1/7/11 6:45    ,1/7/11 10:10   ,               ,               ,1/7/11 23:30
CO-010 ,day_3 ,1/8/11 6:30    ,1/8/11 7:00    ,1/8/11 10:10   ,               ,               ,1/8/11 13:00
CO-011 ,day_0 ,1/9/11 12:00   ,               ,               ,               ,               ,1/9/11 0:00
CO-011 ,day_1 ,1/10/11 9:00   ,               ,               ,               ,               ,1/10/11 0:30
CO-011 ,day_2 ,1/11/11 12:00  ,               ,               ,               ,               ,1/11/11 0:30
CO-011 ,day_3 ,1/12/11 9:00   ,               ,               ,               ,               ,1/12/11 11:15
CO-012 ,day_0 ,1/25/11 11:34  ,               ,               ,               ,               ,
CO-012 ,day_1 ,               ,1/26/11 10:10  ,1/26/11 10:35  ,               ,               ,
CO-012 ,day_2 ,               ,1/27/11 9:20   ,1/27/11 10:30  ,               ,               ,
CO-012 ,day_3 ,               ,1/28/11 8:30   ,1/28/11 9:00   ,               ,               ,1/28/11 12:30
CO-013 ,day_0 ,6/3/12 11:20   ,               ,               ,               ,               ,6/3/12 22:00
CO-013 ,day_1 ,6/4/12 5:30    ,6/4/12 9:45    ,6/4/12 11:15   ,               ,               ,6/4/12 22:30
CO-013 ,day_2 ,6/5/12 7:15    ,               ,               ,               ,               ,6/5/12 23:45
CO-013 ,day_3 ,6/6/12 6:30    ,6/6/12 9:45    ,6/6/12 11:15   ,               ,               ,6/6/12 4:45
CO-014 ,day_0 ,2/15/11 13:13  ,2/15/11 19:35  ,2/15/11 20:00  ,               ,               ,
CO-014 ,day_1 ,               ,2/16/11 8:30   ,               ,2/16/11 20:00  ,2/16/11 20:30  ,
CO-014 ,day_2 ,               ,2/17/11 8:00   ,               ,               ,               ,
CO-014 ,day_3 ,               ,2/18/11 9:00   ,2/18/11 9:30   ,               ,               ,2/18/11 13:30
CO-015 ,day_0 ,3/9/11 12:12   ,3/9/11 23:10   ,3/9/11 23:30   ,               ,               ,
CO-015 ,day_1 ,               ,3/10/11 20:30  ,3/10/11 21:00  ,               ,               ,
CO-015 ,day_2 ,               ,3/11/11 20:30  ,3/11/11 21:00  ,               ,               ,
CO-015 ,day_3 ,               ,3/12/11 15:00  ,3/12/11 16:00  ,               ,               ,3/13/11 8:00
CO-016 ,day_0 ,3/22/11 15:40  ,               ,               ,               ,               ,3/22/11 1:00
CO-016 ,day_1 ,3/23/11 10:30  ,               ,               ,               ,               ,3/23/11 1:00
CO-016 ,day_2 ,3/24/11 9:45   ,               ,               ,               ,               ,3/24/11 0:45
CO-016 ,day_3 ,3/25/11 9:30   ,               ,               ,               ,               ,3/25/11 15:30
CO-017 ,day_0 ,5/15/11 15:45  ,               ,               ,               ,               ,5/15/11 22:00
CO-017 ,day_1 ,5/16/11 10:10  ,5/16/11 16:00  ,5/16/11 17:30  ,               ,               ,
CO-017 ,day_2 ,5/17/11 9:00   ,5/17/11 14:15  ,5/17/11 15:30  ,               ,               ,5/17/11 22:35
CO-017 ,day_3 ,5/18/11 10:30  ,               ,               ,               ,               ,5/18/11 16:00
CO-019 ,day_0 ,7/5/11 12:45   ,               ,               ,               ,               ,
CO-019 ,day_1 ,               ,7/6/11 16:30   ,7/6/11 17:30   ,               ,               ,
CO-019 ,day_2 ,               ,7/7/11 11:00   ,7/7/11 11:30   ,               ,               ,
CO-019 ,day_3 ,               ,               ,               ,               ,               ,7/8/11 13:00
CO-020 ,day_0 ,7/5/11 12:50   ,               ,               ,               ,               ,
CO-020 ,day_1 ,               ,7/6/11 8:30    ,7/6/11 9:00    ,               ,               ,7/6/11 22:00
CO-020 ,day_2 ,7/7/11 7:00    ,7/7/11 10:30   ,7/7/11 11:15   ,               ,               ,7/7/11 22:15
CO-020 ,day_3 ,7/8/11 6:30    ,7/8/11 8:30    ,7/8/11 9:00    ,               ,               ,7/8/11 13:00
CO-021 ,day_0 ,7/7/11 12:50   ,7/7/11 17:50   ,7/7/11 19:20   ,               ,               ,7/7/11 22:05
CO-021 ,day_1 ,7/8/11 8:15    ,7/8/11 12:35   ,7/8/11 17:10   ,               ,               ,7/8/11 21:50
CO-021 ,day_2 ,7/9/11 8:25    ,7/9/11 13:40   ,7/9/11 16:50   ,               ,               ,7/9/11 22:15
CO-021 ,day_3 ,7/10/11 7:50   ,               ,               ,               ,               ,7/10/11 13:00
CO-022 ,day_0 ,8/10/11 11:10  ,               ,               ,               ,               ,8/10/11 21:30
CO-022 ,day_1 ,8/11/11 6:30   ,8/11/11 17:15  ,8/11/11 18:00  ,               ,               ,8/11/11 21:30
CO-022 ,day_2 ,8/12/11 7:00   ,8/12/11 18:00  ,8/12/11 18:30  ,               ,               ,8/12/11 21:30
CO-022 ,day_3 ,8/13/11 6:45   ,               ,               ,               ,               ,8/13/11 11:20
CO-023 ,day_0 ,8/24/11 14:25  ,               ,               ,               ,               ,8/24/11 0:30
CO-023 ,day_1 ,8/25/11 6:30   ,               ,               ,               ,               ,8/25/11 0:30
CO-023 ,day_2 ,8/26/11 7:30   ,               ,               ,               ,               ,8/26/11 1:30
CO-023 ,day_3 ,8/27/11 7:30   ,               ,               ,               ,               ,8/27/11 16:30
CO-024 ,day_0 ,1/18/12 13:40  ,               ,               ,               ,               ,
CO-024 ,day_1 ,               ,               ,               ,               ,               ,1/19/12 19:25
CO-024 ,day_2 ,               ,               ,               ,               ,               ,
CO-024 ,day_3 ,               ,               ,               ,               ,               ,
CO-026 ,day_0 ,7/5/12 15:50   ,7/5/12 17:55   ,7/5/12 18:00   ,               ,               ,7/5/12 22:55
CO-026 ,day_1 ,7/6/12 6:45    ,7/6/12 8:00    ,7/6/12 8:30    ,               ,               ,7/6/12 23:30
CO-026 ,day_2 ,7/7/12 7:15    ,7/7/12 10:05   ,7/7/12 10:50   ,               ,               ,7/7/12 23:55
CO-026 ,day_3 ,7/8/12 8:15    ,               ,               ,               ,               ,7/8/12 14:30
CO-027 ,day_0 ,4/22/12 11:05  ,               ,               ,               ,               ,4/22/12 22:00
CO-027 ,day_1 ,4/23/12 6:00   ,               ,               ,               ,               ,4/23/12 22:30
CO-027 ,day_2 ,4/24/12 6:30   ,               ,               ,               ,               ,4/24/12 22:35
CO-027 ,day_3 ,4/25/12 5:45   ,               ,               ,               ,               ,4/25/12 22:00
CO-028 ,day_0 ,6/4/12 12:25   ,               ,               ,               ,               ,6/4/12 23:00
CO-028 ,day_1 ,6/5/12 12:00   ,               ,               ,               ,               ,6/5/12 22:30
CO-028 ,day_2 ,6/6/12 8:00    ,               ,               ,               ,               ,6/6/12 22:00
CO-028 ,day_3 ,               ,               ,               ,               ,               ,
CO-029 ,day_0 ,8/14/11 13:00  ,               ,               ,               ,               ,
CO-029 ,day_1 ,               ,               ,               ,               ,               ,
CO-029 ,day_2 ,               ,               ,               ,               ,               ,
CO-029 ,day_3 ,               ,               ,               ,               ,               ,
CO-030 ,day_0 ,4/30/12 14:30  ,               ,               ,               ,               ,
CO-030 ,day_1 ,               ,5/1/12 9:00    ,5/1/12 10:00   ,               ,               ,
CO-030 ,day_2 ,               ,5/2/12 7:45    ,5/2/12 9:50    ,               ,               ,
CO-030 ,day_3 ,               ,               ,               ,               ,               ,5/3/12 10:25
CO-031 ,day_0 ,3/15/12 15:33  ,               ,               ,               ,               ,3/15/12 23:15
CO-031 ,day_1 ,3/16/12 8:50   ,               ,               ,               ,               ,3/16/12 23:15
CO-031 ,day_2 ,3/17/12 9:55   ,               ,               ,               ,               ,3/17/12 23:15
CO-031 ,day_3 ,3/18/12 9:36   ,               ,               ,               ,               ,3/18/12 15:33
CO-032 ,day_0 ,5/21/12 14:30  ,               ,               ,               ,               ,5/21/12 21:10
CO-032 ,day_1 ,5/22/12 7:10   ,5/22/12 13:00  ,5/22/12 16:30  ,               ,               ,5/22/12 21:40
CO-032 ,day_2 ,5/23/12 7:05   ,               ,               ,               ,               ,5/23/12 21:10
CO-032 ,day_3 ,5/24/12 7:10   ,               ,               ,               ,               ,5/24/12 12:00
CO-035 ,day_0 ,6/7/12 10:50   ,6/7/12 14:00   ,6/7/12 17:00   ,               ,               ,6/7/12 23:00
CO-035 ,day_1 ,6/8/12 8:15    ,6/8/12 14:50   ,6/8/12 16:40   ,               ,               ,6/8/12 2:30
CO-035 ,day_2 ,6/9/12 10:40   ,6/9/12 14:00   ,6/9/12 17:15   ,               ,               ,6/9/12 22:45
CO-035 ,day_3 ,6/10/12 8:20   ,               ,               ,               ,               ,6/10/12 14:30
CO-036 ,day_0 ,               ,               ,               ,               ,               ,6/7/12 15:00
CO-036 ,day_1 ,6/8/12 10:30   ,6/8/12 13:00   ,6/8/12 18:00   ,               ,               ,6/8/12 1:00
CO-036 ,day_2 ,6/9/12 10:00   ,6/9/12 14:00   ,6/9/12 15:00   ,               ,               ,6/9/12 22:00
CO-036 ,day_3 ,6/10/12 10:00  ,               ,               ,               ,               ,6/10/12 14:00
CO-037 ,day_0 ,6/11/12 12:10  ,               ,               ,               ,               ,6/11/12 0:00
CO-037 ,day_1 ,6/12/12 16:00  ,               ,               ,               ,               ,6/12/12 0:00
CO-037 ,day_2 ,6/13/12 8:30   ,               ,               ,               ,               ,6/13/12 23:00
CO-037 ,day_3 ,6/14/12 17:15  ,               ,               ,               ,               ,6/14/12 0:00
CO-038 ,day_0 ,               ,               ,               ,               ,               ,
CO-038 ,day_1 ,               ,               ,               ,               ,               ,
CO-038 ,day_2 ,               ,               ,               ,               ,               ,
CO-038 ,day_3 ,               ,               ,               ,               ,               ,
CO-039 ,day_0 ,6/17/12 13:29  ,6/17/12 15:15  ,6/17/12 16:45  ,               ,               ,6/17/12 22:00
CO-039 ,day_1 ,6/18/12 8:45   ,6/18/12 10:00  ,6/18/12 12:30  ,               ,               ,6/18/12 22:30
CO-039 ,day_2 ,6/19/12 6:30   ,               ,               ,               ,               ,6/19/12 17:00
CO-039 ,day_3 ,6/20/12 9:30   ,               ,               ,               ,               ,6/20/12 12:45
CO-040 ,day_0 ,6/18/12 11:50  ,               ,               ,               ,               ,
CO-040 ,day_1 ,               ,6/19/12 11:50  ,6/19/12 12:15  ,               ,               ,6/19/12 22:30
CO-040 ,day_2 ,6/20/12 9:30   ,6/20/12 14:15  ,6/20/12 17:15  ,               ,               ,6/20/12 21:22
CO-040 ,day_3 ,6/21/12 7:15   ,               ,               ,               ,               ,6/21/12 11:50
CO-041 ,day_0 ,7/3/12 13:35   ,               ,               ,               ,               ,7/3/12 1:30
CO-041 ,day_1 ,7/4/12 11:30   ,               ,               ,               ,               ,7/4/12 1:30
CO-041 ,day_2 ,7/5/12 9:30    ,               ,               ,               ,               ,7/5/12 1:15
CO-041 ,day_3 ,7/6/12 9:45    ,               ,               ,               ,               ,7/6/12 13:00
CO-042 ,day_0 ,7/4/12 11:54   ,               ,               ,               ,               ,7/4/12 23:00
CO-042 ,day_1 ,7/5/12 7:30    ,               ,               ,               ,               ,7/5/12 23:30
CO-042 ,day_2 ,7/6/12 9:15    ,               ,               ,               ,               ,7/6/12 22:30
CO-042 ,day_3 ,               ,               ,               ,               ,               ,
FL-003 ,day_0 ,7/21/10 12:02  ,               ,               ,               ,               ,
FL-003 ,day_1 ,7/22/10 9:30   ,7/22/10 9:30   ,7/22/10 13:04  ,               ,               ,
FL-003 ,day_2 ,7/23/10 17:23  ,7/23/10 17:23  ,7/23/10 17:35  ,               ,               ,
FL-003 ,day_3 ,               ,               ,               ,               ,               ,7/24/10 12:27
FL-004 ,day_0 ,1/30/11 15:50  ,               ,               ,               ,               ,1/30/11 23:00
FL-004 ,day_1 ,1/31/11 8:00   ,1/31/11 14:00  ,1/31/11 16:00  ,               ,               ,1/31/11 23:00
FL-004 ,day_2 ,2/1/11 8:00    ,2/1/11 14:30   ,2/1/11 17:00   ,               ,               ,2/1/11 23:00
FL-004 ,day_3 ,2/2/11 8:00    ,               ,               ,               ,               ,2/2/11 16:00
FL-005 ,day_0 ,3/23/11 13:05  ,               ,               ,               ,               ,3/23/11 0:30
FL-005 ,day_1 ,3/24/11 9:00   ,               ,               ,               ,               ,3/24/11 0:45
FL-005 ,day_2 ,3/25/11 10:10  ,               ,               ,               ,               ,3/25/11 23:25
FL-005 ,day_3 ,3/26/11 6:05   ,               ,               ,               ,               ,
FL-006 ,day_0 ,5/8/11 15:07   ,               ,               ,               ,               ,5/8/11 23:00
FL-006 ,day_1 ,5/9/11 6:00    ,               ,               ,               ,               ,5/9/11 22:30
FL-006 ,day_2 ,5/10/11 7:30   ,5/10/11 10:00  ,5/10/11 10:30  ,               ,               ,5/10/11 21:45
FL-006 ,day_3 ,5/11/11 9:00   ,               ,               ,               ,               ,5/11/11 21:30
FL-007 ,day_0 ,5/15/11 9:45   ,5/15/11 19:55  ,5/15/11 20:15  ,               ,               ,5/15/11 23:10
FL-007 ,day_1 ,5/16/11 7:30   ,5/16/11 19:40  ,5/16/11 20:00  ,               ,               ,5/16/11 0:40
FL-007 ,day_2 ,5/17/11 7:00   ,5/17/11 19:40  ,5/17/11 20:00  ,               ,               ,5/17/11 22:45
FL-007 ,day_3 ,5/18/11 7:10   ,5/18/11 14:40  ,5/18/11 15:00  ,               ,               ,5/18/11 17:00
FL-008 ,day_0 ,5/22/11 10:30  ,5/22/11 15:15  ,5/22/11 17:30  ,               ,               ,5/22/11 23:30
FL-008 ,day_1 ,5/23/11 9:00   ,5/23/11 13:30  ,5/23/11 16:00  ,               ,               ,5/23/11 22:20
FL-008 ,day_2 ,5/24/11 10:30  ,5/24/11 16:30  ,5/24/11 18:30  ,               ,               ,
FL-008 ,day_3 ,5/25/11 7:40   ,               ,               ,               ,               ,
FL-009 ,day_0 ,5/24/11 12:40  ,5/24/11 14:30  ,5/24/11 14:50  ,               ,               ,
FL-009 ,day_1 ,               ,5/25/11 18:30  ,5/25/11 19:00  ,               ,               ,
FL-009 ,day_2 ,               ,5/26/11 15:00  ,5/26/11 16:00  ,               ,               ,
FL-009 ,day_3 ,               ,               ,               ,               ,               ,5/27/11 12:00
FL-010 ,day_0 ,               ,               ,               ,               ,               ,
FL-010 ,day_1 ,               ,               ,               ,               ,               ,
FL-010 ,day_2 ,               ,               ,               ,               ,               ,
FL-010 ,day_3 ,               ,               ,               ,               ,               ,5/27/11 10:00
FL-011 ,day_0 ,6/5/11 12:10   ,6/5/11 15:00   ,6/5/11 16:30   ,               ,               ,6/5/11 1:00
FL-011 ,day_1 ,6/6/11 9:30    ,6/6/11 14:00   ,6/6/11 16:00   ,               ,               ,6/6/11 1:00
FL-011 ,day_2 ,6/7/11 9:00    ,6/7/11 12:00   ,6/7/11 13:00   ,               ,               ,
FL-011 ,day_3 ,6/8/11 9:00    ,6/8/11 14:00   ,6/8/11 15:30   ,               ,               ,6/8/11 1:00
FL-013 ,day_0 ,8/23/11 12:40  ,               ,               ,               ,               ,
FL-013 ,day_1 ,               ,8/24/11 10:30  ,8/24/11 11:00  ,               ,               ,8/24/11 23:50
FL-013 ,day_2 ,8/25/11 8:30   ,8/25/11 10:00  ,8/25/11 10:52  ,               ,               ,8/25/11 23:00
FL-013 ,day_3 ,8/26/11 8:30   ,8/26/11 10:30  ,8/26/11 10:45  ,               ,               ,8/26/11 12:40
FL-014 ,day_0 ,8/30/11 12:15  ,               ,               ,               ,               ,8/30/11 23:00
FL-014 ,day_1 ,8/31/11 6:30   ,8/31/11 17:00  ,8/31/11 17:25  ,               ,               ,8/31/11 22:10
FL-014 ,day_2 ,9/1/11 7:00    ,9/1/11 12:30   ,9/1/11 13:00   ,               ,               ,9/1/11 22:10
FL-014 ,day_3 ,9/2/11 7:00    ,9/2/11 12:40   ,9/2/11 13:10   ,               ,               ,9/2/11 22:20
FL-016 ,day_0 ,9/14/11 14:22  ,               ,               ,               ,               ,
FL-016 ,day_1 ,               ,               ,               ,               ,               ,9/15/11 20:00
FL-016 ,day_2 ,9/16/11 6:00   ,9/16/11 8:15   ,9/16/11 9:00   ,               ,               ,
FL-016 ,day_3 ,               ,9/17/11 7:00   ,9/17/11 7:40   ,               ,               ,9/17/11 23:00
FL-017 ,day_0 ,               ,12/18/11 22:30 ,12/18/11 23:00 ,               ,               ,
FL-017 ,day_1 ,               ,12/19/11 23:00 ,12/19/11 23:20 ,               ,               ,
FL-017 ,day_2 ,               ,               ,               ,               ,               ,12/20/11 18:00
FL-017 ,day_3 ,               ,               ,               ,               ,               ,
FL-018 ,day_0 ,9/21/11 10:15  ,9/21/11 18:20  ,9/21/11 18:35  ,               ,               ,
FL-018 ,day_1 ,               ,               ,               ,               ,               ,
FL-019 ,day_0 ,10/5/11 13:00  ,               ,               ,               ,               ,10/5/11 22:00
FL-019 ,day_1 ,10/6/11 8:15   ,               ,               ,               ,               ,10/6/11 21:30
FL-019 ,day_2 ,10/7/11 8:45   ,10/7/11 15:00  ,10/7/11 15:25  ,               ,               ,10/7/11 21:00
FL-019 ,day_3 ,10/8/11 8:30   ,               ,               ,               ,               ,10/8/11 13:30
FL-021 ,day_0 ,10/31/11 14:27 ,               ,               ,               ,               ,
FL-021 ,day_1 ,               ,               ,               ,               ,               ,
FL-021 ,day_2 ,               ,               ,               ,               ,               ,
FL-021 ,day_3 ,               ,               ,               ,               ,               ,11/3/11 13:30
FL-022 ,day_0 ,10/24/11 15:10 ,               ,               ,               ,               ,
FL-022 ,day_1 ,               ,               ,               ,               ,               ,
FL-022 ,day_2 ,               ,               ,               ,               ,               ,
FL-022 ,day_3 ,               ,10/27/11 9:15  ,10/27/11 9:45  ,               ,               ,10/27/11 15:15
FL-023 ,day_0 ,11/6/11 11:30  ,               ,               ,               ,               ,
FL-023 ,day_1 ,11/7/11 10:00  ,11/7/11 20:00  ,11/7/11 20:30  ,               ,               ,
FL-023 ,day_2 ,               ,11/8/11 8:00   ,11/8/11 8:30   ,               ,               ,
FL-023 ,day_3 ,               ,11/9/11 6:30   ,11/9/11 7:00   ,               ,               ,
FL-025 ,day_0 ,11/21/11 14:00 ,               ,               ,               ,               ,11/21/11 22:10
FL-025 ,day_1 ,11/22/11 7:00  ,11/22/11 17:00 ,11/22/11 18:00 ,               ,               ,11/22/11 22:30
FL-025 ,day_2 ,11/23/11 8:00  ,               ,               ,               ,               ,11/23/11 22:30
FL-025 ,day_3 ,11/24/11 7:00  ,               ,               ,               ,               ,11/24/11 21:45
FL-026 ,day_0 ,               ,12/5/11 15:00  ,12/5/11 16:00  ,               ,               ,12/5/11 21:30
FL-026 ,day_1 ,12/6/11 8:30   ,12/6/11 13:00  ,12/6/11 16:00  ,               ,               ,12/6/11 19:00
FL-026 ,day_2 ,12/7/11 6:30   ,12/7/11 10:30  ,12/7/11 15:00  ,               ,               ,12/7/11 19:00
FL-026 ,day_3 ,12/8/11 7:30   ,               ,               ,               ,               ,12/8/11 13:30
FL-027 ,day_0 ,1/8/12 10:30   ,               ,               ,               ,               ,
FL-027 ,day_1 ,               ,               ,               ,               ,               ,
FL-027 ,day_2 ,               ,               ,               ,               ,               ,
FL-027 ,day_3 ,               ,               ,               ,               ,               ,1/11/12 14:30
FL-031 ,day_0 ,4/23/12 12:45  ,               ,               ,               ,               ,4/23/12 21:30
FL-031 ,day_1 ,4/24/12 6:30   ,               ,               ,               ,               ,4/24/12 21:30
FL-031 ,day_2 ,4/25/12 9:30   ,               ,               ,               ,               ,4/25/12 22:16
FL-031 ,day_3 ,4/26/12 9:30   ,               ,               ,               ,               ,4/26/12 12:00
FL-032 ,day_0 ,               ,               ,               ,               ,               ,
FL-032 ,day_1 ,               ,               ,               ,               ,               ,
FL-032 ,day_2 ,               ,               ,               ,               ,               ,
FL-032 ,day_3 ,               ,               ,               ,               ,               ,
FL-033 ,day_0 ,6/4/12 12:33   ,               ,               ,               ,               ,6/4/12 22:55
FL-033 ,day_1 ,6/5/12 6:05    ,6/5/12 13:50   ,6/5/12 15:00   ,               ,               ,6/5/12 22:50
FL-033 ,day_2 ,6/6/12 5:30    ,6/6/12 10:00   ,6/6/12 12:45   ,6/6/12 15:45   ,6/6/12 17:15   ,6/6/12 22:35
FL-033 ,day_3 ,6/7/12 7:00    ,               ,               ,               ,               ,6/7/12 8:00
FL-035 ,day_0 ,6/21/12 9:00   ,               ,               ,               ,               ,6/21/12 20:00
FL-035 ,day_1 ,6/22/12 6:20   ,6/22/12 18:45  ,6/22/12 19:00  ,               ,               ,6/22/12 0:45
FL-035 ,day_2 ,6/23/12 8:40   ,6/23/12 18:45  ,6/23/12 19:00  ,               ,               ,6/23/12 22:30
FL-035 ,day_3 ,               ,               ,               ,               ,               ,
FL-036 ,day_0 ,7/4/12 9:59    ,7/4/12 12:30   ,7/5/12 7:40    ,               ,               ,
FL-036 ,day_1 ,7/5/12 7:40    ,               ,               ,               ,               ,
FL-036 ,day_2 ,7/6/12 7:10    ,7/6/12 15:30   ,7/6/12 15:35   ,               ,               ,7/6/12 23:30
FL-036 ,day_3 ,7/7/12 8:57    ,               ,               ,               ,               ,7/7/12 13:25